mode,dataset,attack_family,defense,n,tpr_mean,auc_mean
all-to-one,cifar10,sig,IBD_PSC,63,0.6850952380952381,0.7935173699156745
all-to-one,cifar10,sig,SCaLe-Up,63,0.6794017167908973,0.7937737891433211
all-to-one,cifar10,sig,STRIP,63,0.19088095238095235,0.5648783128720238
all-to-one,cifar10,sig,SentiNet,63,0.10163492063492065,0.4977482083333333
all-to-one,cifar10,upgd,IBD_PSC,72,0.4788628472222223,0.6816476606987847
all-to-one,cifar10,upgd,SCaLe-Up,72,0.8848713595910992,0.9012296231094824
all-to-one,cifar10,upgd,STRIP,72,0.7438072916666667,0.9095122200520831
all-to-one,cifar10,upgd,SentiNet,72,0.4859305555555555,0.7822861267361111
all-to-one,mnistm,sig,IBD_PSC,63,0.8093988095238095,0.7681396194196429
all-to-one,mnistm,sig,SCaLe-Up,63,0.40104662472754443,0.6247925600509447
all-to-one,mnistm,sig,STRIP,63,0.4405416666666668,0.7282629340277779
all-to-one,mnistm,sig,SentiNet,63,0.09211111111111113,0.39633224999999994
all-to-one,mnistm,upgd,IBD_PSC,72,0.7821232638888886,0.6829156490885416
all-to-one,mnistm,upgd,SCaLe-Up,72,0.3773039257504969,0.6037712815586208
all-to-one,mnistm,upgd,STRIP,72,0.5684722222222223,0.8391303643663192
all-to-one,mnistm,upgd,SentiNet,72,0.09753472222222223,0.4813708194444443
all-to-one,tiny_imagenet,sig,IBD_PSC,42,0.21960714285714283,0.6210336688988095
all-to-one,tiny_imagenet,sig,SCaLe-Up,42,0.1445895555958895,0.6376004161230329
all-to-one,tiny_imagenet,sig,STRIP,42,0.36711904761904757,0.7310908982514882
all-to-one,tiny_imagenet,sig,SentiNet,42,0.07325000000000001,0.4848294345238093
all-to-one,tiny_imagenet,upgd,IBD_PSC,48,0.25992447916666667,0.6644078937174481
all-to-one,tiny_imagenet,upgd,SCaLe-Up,48,0.1584459357549922,0.6175170947443818
all-to-one,tiny_imagenet,upgd,STRIP,48,0.46131249999999996,0.7760451263020837
all-to-one,tiny_imagenet,upgd,SentiNet,48,0.09174999999999998,0.4950730468749999
clean-label,cifar10,sig,IBD_PSC,63,0.3746706349206349,0.6075058211805555
clean-label,cifar10,sig,SCaLe-Up,63,0.48267331416168424,0.6687960695719568
clean-label,cifar10,sig,STRIP,63,0.05993055555555557,0.4170961200396823
clean-label,cifar10,sig,SentiNet,63,0.10851587301587301,0.4887770257936509
clean-label,cifar10,upgd,IBD_PSC,72,0.3738906250000001,0.5842834622395836
clean-label,cifar10,upgd,SCaLe-Up,72,0.7065544712045448,0.7945553189456328
clean-label,cifar10,upgd,STRIP,72,0.31059375,0.6562889156901042
clean-label,cifar10,upgd,SentiNet,72,0.3204444444444444,0.6873862864583336
clean-label,mnistm,sig,IBD_PSC,63,0.48851984126984127,0.489453359002976
clean-label,mnistm,sig,SCaLe-Up,63,0.06473182030351794,0.33691809356935365
clean-label,mnistm,sig,STRIP,63,0.05063690476190475,0.4674136047867063
clean-label,mnistm,sig,SentiNet,63,0.08681746031746033,0.3936065833333333
clean-label,mnistm,upgd,IBD_PSC,72,0.41503819444444456,0.448082586046007
clean-label,mnistm,upgd,SCaLe-Up,72,0.18756974009376345,0.4324712543405217
clean-label,mnistm,upgd,STRIP,72,0.07354513888888892,0.4580256771918403
clean-label,mnistm,upgd,SentiNet,72,0.06995138888888887,0.41582828993055565
clean-label,tiny_imagenet,sig,IBD_PSC,42,0.20867857142857138,0.48049277362351184
clean-label,tiny_imagenet,sig,SCaLe-Up,42,0.0532065680544113,0.5208299248219159
clean-label,tiny_imagenet,sig,STRIP,42,0.08725000000000001,0.5273521175595238
clean-label,tiny_imagenet,sig,SentiNet,42,0.05346428571428571,0.44827953273809534
clean-label,tiny_imagenet,upgd,IBD_PSC,48,0.15820572916666661,0.47375067724609354
clean-label,tiny_imagenet,upgd,SCaLe-Up,48,0.04968346258489967,0.48955995313838213
clean-label,tiny_imagenet,upgd,STRIP,48,0.11307812499999997,0.5499908388671874
clean-label,tiny_imagenet,upgd,SentiNet,48,0.08565625000000003,0.48869340104166664
