dataset,attack_type,n_points,transfer_mean,transfer_std,transfer_q25,transfer_q75,stealth_mean_mean,stealth_std,stealth_q25,stealth_q75,asr_mean,tradeoff_hmean_mean,transfer_iqr,stealth_iqr
cifar10,blend,63,0.6474677936507935,0.3526086739602947,0.30125,0.9366405,0.5143153021638353,0.12073815811965569,0.4156088130216078,0.618691812018618,0.7308803311861841,0.47315907529415796,0.6353905,0.2030829989970102
cifar10,SIG,63,0.477152873015873,0.3145585002842049,0.22125,0.728047,0.5990043232200508,0.09189363588209092,0.5274700620617216,0.6719385061425446,0.6031106079764497,0.448403483971623,0.5067969999999999,0.14446844408082293
cifar10,adaptive_blend,63,0.4843725238095238,0.3076157585016997,0.12796849999999999,0.763516,0.5734723190751366,0.1068182756450941,0.48757509502274,0.6692763676076801,0.5224898986889811,0.433994341582569,0.6355474999999999,0.18170127258494007
cifar10,adaptive_patch,45,0.5439443555555555,0.26487777036520715,0.352187,0.773906,0.4572107068896442,0.14690394377754995,0.42545115822079527,0.5398640972073686,0.4136954137510233,0.4274917040194128,0.421719,0.11441293898657334
cifar10,WaNet,72,0.19505206944444445,0.22994985128233889,0.038476750000000004,0.299805,0.5574551530933665,0.08763598648533918,0.48405983406683084,0.6421189363180599,0.6617235892920585,0.21902341756012578,0.26132825,0.1580591022512291
cifar10,basic,81,0.9092959012345679,0.21925302704162403,0.959688,1.0,0.12556326415384012,0.12460723897372274,0.0442118326565681,0.14032966919317574,0.9339223833871408,0.17359193994333166,0.040312000000000014,0.09611783653660765
cifar10,upgd,72,0.7776171666666667,0.1955832433057597,0.6691405,0.92566375,0.4457503407521696,0.1226302647326697,0.3773121071792829,0.5185529253808308,0.8440845266231058,0.5320807057952831,0.25652325,0.14124081820154788
cifar10,belt,54,0.639771425925926,0.15840781753729322,0.54941425,0.72398475,0.3626846187517386,0.09226674799886256,0.301737362022172,0.42986909625410463,0.9178728290364603,0.4425930195985927,0.17457049999999996,0.12813173423193264
mnistm,upgd,72,0.3927508333333333,0.4281680261109163,0.008584999999999999,0.917609,0.6874359662718862,0.06389597568757373,0.6533163134723319,0.7405393008581802,0.4031538867175383,0.358828860402779,0.909024,0.08722298738584833
mnistm,belt,54,0.7465516481481481,0.3749977975841316,0.6171132500000001,1.0,0.6104098101497819,0.0974369821537516,0.5337160602518514,0.6933169160618335,0.7694982112207126,0.5821881461245754,0.38288674999999994,0.15960085580998218
mnistm,WaNet,72,0.7826128611111112,0.37217577845623107,0.7741835,1.0,0.5388366164340456,0.13485845249324707,0.45339101186102115,0.6242178092662297,0.5700396271480861,0.5311319789344046,0.22581649999999998,0.17082679740520856
mnistm,adaptive_blend,63,0.6251029682539683,0.3669774754647523,0.358808,0.9161085,0.6374220949427506,0.0857862451392793,0.5874450202799087,0.6936943744059267,0.5411559561475809,0.5315549761616054,0.5573005,0.10624935412601799
mnistm,blend,63,0.8465652857142857,0.3418097281948347,0.9900195,1.0,0.5018224628956736,0.13651633434098803,0.3909726531611907,0.5970774962446097,0.7677939964372126,0.5417052295335565,0.009980499999999948,0.20610484308341903
mnistm,basic,81,0.862600012345679,0.3305381463910971,0.994277,1.0,0.313888437268088,0.14067630834044967,0.22143665163180098,0.3636320456007953,0.7846950803399715,0.3691027478383183,0.005723000000000034,0.14219539396899433
mnistm,adaptive_patch,45,0.48279051111111115,0.1943567559030677,0.299274,0.625209,0.5762244683836397,0.09506175730896671,0.5180387141941032,0.6207898873107918,0.32361188659346113,0.49103300334434324,0.32593500000000003,0.10275117311668858
mnistm,SIG,63,0.0025835714285714286,0.004776225324000336,0.000977,0.001815,0.7027377915818632,0.04351148018318362,0.67142948037945,0.7337979491227936,0.02789299229835239,0.005087309201441583,0.000838,0.062368468743343564
tiny_imagenet,blend,63,0.7125469365079364,0.3695788714828163,0.5356785000000001,0.9854275,0.5373325481449697,0.11677959294496981,0.4493480708497356,0.6071156075664019,0.7502960490903219,0.5076486953030516,0.44974899999999995,0.15776753671666632
tiny_imagenet,upgd,48,0.36273029166666665,0.3515019893134566,0.047738499999999996,0.718593,0.698922695369388,0.042914023545751634,0.6716909134510778,0.7301455985364154,0.40862063551871386,0.3751142147655335,0.6708545,0.05845468508533758
tiny_imagenet,adaptive_blend,60,0.6021272333333333,0.3290420396219739,0.32261325,0.8758795,0.5614326319937482,0.1167199321735143,0.46090710178713984,0.66049107239128,0.6355103407853974,0.4868572519941595,0.5532662500000001,0.19958397060414018
tiny_imagenet,SIG,42,0.2840153095238095,0.31927392513719566,0.01206,0.4889445,0.7025557782574606,0.0482680379659352,0.6758003013333442,0.7421919668437494,0.41588019282066,0.3074442393769279,0.4768845,0.0663916655104052
tiny_imagenet,basic,81,0.814728012345679,0.28823282950093027,0.774874,0.994975,0.18349728821802744,0.13375344075053902,0.0979503432156832,0.2209045837919063,0.8246640679027852,0.22129865094716625,0.2201010000000001,0.1229542405762231
tiny_imagenet,WaNet,72,0.7250977361111111,0.2676876858101511,0.542714,1.0,0.5982223696872373,0.13485468788740976,0.4922707792673219,0.7201908914314129,0.6212390800747998,0.5985325259406796,0.45728599999999997,0.22792011216409103
tiny_imagenet,belt,54,0.8866555740740741,0.24399836183718582,0.939447,0.98593,0.3073548105909189,0.16183874442275922,0.1920574759961785,0.3919084123138393,0.8932987244969159,0.38850603535040945,0.04648299999999994,0.19985093631766082
tiny_imagenet,adaptive_patch,45,0.7773311333333333,0.13576019013262117,0.714573,0.882412,0.2137118193100022,0.08910161678651587,0.134635803285506,0.2701849540642973,0.7541572469228838,0.3164299169797603,0.16783899999999996,0.13554915077879132
