dataset,attack_type,best_defense,best_tpr_mean,best_auc_mean,worst_defense,worst_tpr_mean,worst_auc_mean,tpr_gap
cifar10,adaptive_patch,SentiNet,0.9371111111111111,0.9715607194444444,STRIP,0.15169166666666667,0.5016559194444444,0.7854194444444444
cifar10,belt,IBD_PSC,0.7491458333333334,0.8512843288483796,STRIP,0.1517939814814815,0.6574834098668981,0.5973518518518519
cifar10,WaNet,IBD_PSC,0.5156944444444445,0.6802179952256944,STRIP,0.03056423611111111,0.4557897223307292,0.48513020833333337
cifar10,blend,SCaLe-Up,0.5776491133625431,0.7334321331412594,STRIP,0.14537698412698413,0.596366150421627,0.43227212923555897
cifar10,SIG,SCaLe-Up,0.48267331416168435,0.668796069571957,STRIP,0.059930555555555556,0.41709612003968255,0.4227427586061288
cifar10,upgd,SCaLe-Up,0.7065544712045448,0.7945553189456326,STRIP,0.31059375,0.6562889156901042,0.39596072120454484
cifar10,basic,SentiNet,0.9887469135802469,0.9959116358024691,STRIP,0.6262484567901235,0.8866151444830247,0.3624984567901234
cifar10,adaptive_blend,SCaLe-Up,0.45936480346287684,0.6465851772941648,STRIP,0.11673214285714285,0.5209009237351191,0.342632660605734
mnistm,adaptive_patch,SentiNet,0.8003555555555555,0.8625414777777778,SCaLe-Up,0.05835702605021764,0.30931006889455365,0.7419985295053378
mnistm,basic,SentiNet,0.9198703703703704,0.9541210895061729,SCaLe-Up,0.19151159432190795,0.47322285612520854,0.7283587760484624
mnistm,blend,IBD_PSC,0.7267599206349206,0.6390640498511905,SentiNet,0.11449999999999999,0.4778400972222222,0.6122599206349206
mnistm,WaNet,SCaLe-Up,0.6111479780448215,0.6755809234906264,SentiNet,0.07772916666666668,0.4170263993055556,0.5334188113781548
mnistm,belt,IBD_PSC,0.5755694444444445,0.6819040824652777,SCaLe-Up,0.11391872179693215,0.3538135905522658,0.46165072264751233
mnistm,SIG,IBD_PSC,0.48851984126984127,0.4894533590029762,STRIP,0.050636904761904765,0.46741360478670635,0.4378829365079365
mnistm,adaptive_blend,IBD_PSC,0.4604166666666667,0.48720690104166664,SentiNet,0.0759047619047619,0.43695828571428574,0.3845119047619048
mnistm,upgd,IBD_PSC,0.41503819444444445,0.4480825860460069,SentiNet,0.0699513888888889,0.41582828993055554,0.34508680555555554
tiny_imagenet,basic,SentiNet,1.0,0.9989501265432099,SCaLe-Up,0.399634275541172,0.7664945587609047,0.6003657244588281
tiny_imagenet,adaptive_patch,SentiNet,1.0,0.9990568166666667,IBD_PSC,0.47696666666666665,0.7823596453125,0.5230333333333334
tiny_imagenet,belt,IBD_PSC,0.7962037037037036,0.9004976650752314,SCaLe-Up,0.38122040295038917,0.7250444415982028,0.41498330075331447
tiny_imagenet,WaNet,IBD_PSC,0.4491440972222222,0.7154654978298611,STRIP,0.06638020833333333,0.6050435081380209,0.3827638888888889
tiny_imagenet,blend,IBD_PSC,0.4389781746031746,0.789613578125,SentiNet,0.0988968253968254,0.48954907341269843,0.34008134920634925
tiny_imagenet,adaptive_blend,STRIP,0.3796666666666667,0.7544769252604167,SCaLe-Up,0.07959128431699779,0.574667493196558,0.3000753823496689
tiny_imagenet,SIG,IBD_PSC,0.20867857142857144,0.48049277362351195,SCaLe-Up,0.0532065680544113,0.5208299248219157,0.15547200337416014
tiny_imagenet,upgd,IBD_PSC,0.15820572916666667,0.47375067724609377,SCaLe-Up,0.049683462584899675,0.489559953138382,0.108522266581767
