dataset,defense,n_points,tpr_mean,auc_mean,tpr_std,auc_std,stealth_from_tpr,stealth_from_auc
cifar10,SCaLe-Up,513,0.5915596253632548,0.7329461867692498,0.2502147110713413,0.1433970654952052,0.4084403746367452,0.26705381323075017
cifar10,IBD_PSC,513,0.5199359161793372,0.6770414197429337,0.3801068071208002,0.23644288589426934,0.4800640838206628,0.32295858025706625
cifar10,SentiNet,513,0.4064824561403509,0.6902408289473684,0.3877562001894513,0.22355303146186253,0.5935175438596492,0.3097591710526316
cifar10,STRIP,513,0.21559649122807018,0.5977173301809211,0.2648824403843952,0.20855996586799644,0.7844035087719299,0.4022826698190789
mnistm,IBD_PSC,513,0.579556530214425,0.5709535819474902,0.3123464361498859,0.1974114563759398,0.420443469785575,0.42904641805250976
mnistm,SentiNet,513,0.2843216374269006,0.5559584846491228,0.3771129455362989,0.23976898755081685,0.7156783625730994,0.4440415153508772
mnistm,STRIP,513,0.22794590643274854,0.584658547880117,0.2806622522954967,0.20450767643352066,0.7720540935672515,0.41534145211988305
mnistm,SCaLe-Up,513,0.22696212670860855,0.46822083445018037,0.2587177325695588,0.1756546242378688,0.7730378732913914,0.5317791655498196
tiny_imagenet,IBD_PSC,465,0.49203360215053765,0.7330591219422042,0.389074238908465,0.21612999902744873,0.5079663978494624,0.26694087805779576
tiny_imagenet,SentiNet,464,0.4165959051724138,0.6748795525323277,0.4312110288078052,0.24253666073139044,0.5834040948275863,0.3251204474676723
tiny_imagenet,STRIP,465,0.38215618279569896,0.736812154015457,0.33639452187693775,0.18805440621735536,0.617843817204301,0.26318784598454303
tiny_imagenet,SCaLe-Up,465,0.22754846234102513,0.6413974258602696,0.2553720415183119,0.15123937319929734,0.7724515376589749,0.3586025741397304
