dataset,attack_type,n_points,nc_metadata_points,nc_poisoned_rate,nc_max_anomaly_index_mean,S_stealth_mean,S_stealth_median,S_stealth_tpr_mean,S_stealth_tpr_median,rank_S_stealth_mean,rank_S_stealth_tpr_mean
cifar10,adaptive_patch,45,45,0.7777777777777778,4.17474611070421,0.411482553321654,0.440685769518124,0.5576638886229109,0.5997403549981708,1.0,5.0
cifar10,SIG,63,63,0.19047619047619047,2.9095329916666426,0.39428581509090993,0.4005341734603329,0.6255627468773296,0.644508040201005,2.0,1.0
cifar10,adaptive_blend,63,63,0.23809523809523808,2.758783533459618,0.38065459950604064,0.3788251290540911,0.6163918564895601,0.646634523551118,3.0,2.0
cifar10,WaNet,72,72,0.2777777777777778,3.5007812993394003,0.37677818794282214,0.36638295252192266,0.6048062480009534,0.6253839374807244,4.0,4.0
cifar10,blend,63,63,0.4603174603174603,3.401829375161065,0.36663442532533985,0.3820184100963212,0.6062948996927895,0.6036060441968639,5.0,3.0
cifar10,upgd,72,72,0.375,3.104231288035711,0.3191503624844096,0.31335882317737307,0.5213565010213425,0.5173812984863212,6.0,6.0
cifar10,belt,54,54,0.5,3.173697257483447,0.26772620464742186,0.23829813300666935,0.48162649430237314,0.4428081036258038,7.0,7.0
cifar10,basic,81,81,0.9135802469135802,5.230239403100661,0.19620614830402364,0.1945893542703983,0.26186480492153674,0.2433196099279223,8.0,8.0
mnistm,adaptive_patch,45,45,0.5777777777777777,2.7332308610280354,0.5002984225300621,0.4979299240680484,0.6198097960294848,0.6126074966488001,1.0,5.0
mnistm,upgd,72,72,0.2361111111111111,2.350866597559717,0.4904525598417867,0.46508085115771713,0.6921132288803745,0.6863480133365718,2.0,2.0
mnistm,belt,54,54,0.8148148148148148,3.7718841234842935,0.48901686936594324,0.4784081637077444,0.7337779436667785,0.725865984057962,3.0,1.0
mnistm,SIG,63,63,0.12698412698412698,2.152077016376314,0.48581732636665836,0.4666734108215577,0.6851544491745876,0.6757359756097561,4.0,3.0
mnistm,adaptive_blend,63,63,0.23809523809523808,2.2875602500779286,0.4519367619989911,0.4371620823426937,0.6505704267054326,0.6451227326534329,5.0,4.0
mnistm,WaNet,72,72,0.16666666666666666,2.3730267352528043,0.38886734668508605,0.3486717470796179,0.526215402506018,0.4928373309071804,6.0,7.0
mnistm,blend,63,63,0.38095238095238093,2.6457871690629022,0.3695389595012344,0.3760894450694186,0.5568978160498362,0.5471877212466163,7.0,6.0
mnistm,basic,81,81,0.8765432098765432,4.571803531528991,0.3156470732102116,0.3083917220727724,0.4200869852352236,0.3886520252093228,8.0,8.0
tiny_imagenet,SIG,42,0,,,0.4046091302513906,0.41912881447172556,0.7194801149605463,0.7381136803185439,1.0,1.0
tiny_imagenet,upgd,48,0,,,0.399601025941334,0.4098356504724028,0.7186752866496868,0.7342759359898388,2.0,2.0
tiny_imagenet,WaNet,72,0,,,0.3128375990232673,0.34553707583957705,0.6443181924763124,0.7063284205563973,3.0,3.0
tiny_imagenet,adaptive_blend,60,3,1.0,4.778231779734294,0.2905609850861086,0.2812678946723835,0.6119639268359791,0.6213107433095784,4.0,4.0
tiny_imagenet,blend,63,2,1.0,4.274476051330566,0.27471367467259616,0.2447320526419647,0.5913676087085618,0.5932385839736555,5.0,5.0
tiny_imagenet,belt,54,0,,,0.15108009944932455,0.11725264116776316,0.34068759749614574,0.29180577343265707,6.0,6.0
tiny_imagenet,adaptive_patch,45,1,1.0,3.583580732345581,0.10006614431348289,0.0872169875258044,0.24845373276228086,0.2647341091091091,7.0,7.0
tiny_imagenet,basic,81,2,1.0,5.347728967666626,0.08955999449146422,0.060841690706783,0.20483469720022557,0.161925,8.0,8.0
