dataset,poison_rate,n_points,transfer_mean,transfer_median,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,asr_mean,tradeoff_hmean_mean
cifar10,0.005,153,0.5159559150326797,0.557656,0.3593790155075007,0.6021839287617169,0.4807814721346088,0.6185034651517588,0.33314319876499454
cifar10,0.01,171,0.5508570643274854,0.587187,0.34316519519085836,0.5917990127688708,0.46748210397986456,0.6968934222111653,0.375580076067449
cifar10,0.02,18,0.6423872222222222,0.6369535,0.22855380441847092,0.46765475020859726,0.34810427731353405,0.9249501830483341,0.4370581000114366
cifar10,0.05,153,0.7021721633986928,0.820312,0.29870519437945003,0.5256368669700694,0.41217103067475974,0.7901600048703851,0.4299692495070274
cifar10,0.1,18,0.6635418333333333,0.677578,0.1947974770409222,0.47205963127597794,0.3334285541584501,0.9923459536277554,0.4350130620157746
mnistm,0.005,153,0.5084545947712419,0.45268,0.4809162234595361,0.6990693559247491,0.5899927896921426,0.3744694788393675,0.37440995993846676
mnistm,0.01,171,0.5589138128654971,0.709799,0.4678875511504759,0.6978359770452439,0.5828617640978598,0.4954564897260833,0.4003170337054144
mnistm,0.02,18,0.8691063333333333,0.995603,0.45878959636230854,0.7694061102893318,0.6140978533258202,0.7874713071530492,0.6867072881624011
mnistm,0.05,153,0.6694437843137254,0.961195,0.4231437390750563,0.6025878003996503,0.5128657697373532,0.654442327833795,0.4261542939202539
mnistm,0.1,18,0.9987436666666666,1.0,0.38075491255989735,0.6407145984468435,0.5107347555033704,0.980318257956449,0.6746537053308997
tiny_imagenet,0.001,45,0.15513115555555557,0.054271,0.5253591965487693,0.9094146599449203,0.7173869282468448,0.24623070696921484,0.20128593184180277
tiny_imagenet,0.005,150,0.5816951733333333,0.6256285,0.3653902505609392,0.7155339998743627,0.5404621252176509,0.584863937034246,0.4303358688993789
tiny_imagenet,0.01,126,0.7253489920634921,0.8376885000000001,0.2768624117687912,0.5886138421370839,0.4327381269529375,0.717632962923091,0.42974187396692004
tiny_imagenet,0.02,18,0.9031267777777777,0.9713565,0.2050501746716686,0.4533463448263339,0.3291982597490013,0.910358927126071,0.4283379321365097
tiny_imagenet,0.05,108,0.85212175,0.98392,0.20305724454316107,0.48637222639325517,0.3447147354682081,0.8581130741391982,0.43387020099634244
tiny_imagenet,0.1,18,0.972361888888889,0.9809045000000001,0.11689220013752427,0.29549985157677516,0.20619602585714972,0.9937690139272656,0.3347700100053934
